Div,Date,Time,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Result,HalfTimeHG,HalfTimeAG,HalfTimeResult,HomeShots,AwayShots,HomeShotsOnTarget,AwayShotsOnTarget,HomeFouls,AwayFouls,HomeCorners,AwayCorners,HomeYellows,AwayYellows,HomeReds,AwayReds
SP1,2/16/2024,20:00,Villarreal,Getafe,1,1,D,0,1,A,20,11,7,2,13,13,8,3,0,1,0,0
SP1,2/12/2024,20:00,Almeria,Ath Bilbao,0,0,D,0,0,D,10,12,4,4,17,15,4,10,4,1,1,0
SP1,2/11/2024,13:00,Getafe,Celta,3,2,H,2,0,H,11,9,4,4,16,13,0,4,1,2,0,0
SP1,2/11/2024,15:15,Mallorca,Vallecano,2,1,H,0,0,D,8,11,5,4,17,11,5,1,4,0,0,0
SP1,2/11/2024,17:30,Sevilla,Ath Madrid,1,0,H,1,0,H,10,16,6,5,8,5,2,7,2,1,0,0
SP1,2/11/2024,20:00,Barcelona,Granada,3,3,D,1,1,D,11,11,6,5,13,9,6,2,1,2,0,0
SP1,2/10/2024,13:00,Alaves,Villarreal,1,1,D,1,1,D,17,12,4,4,7,11,10,9,0,2,0,0
SP1,2/10/2024,15:15,Sociedad,Osasuna,0,1,A,0,0,D,21,9,3,2,11,11,7,4,0,0,0,0
SP1,2/10/2024,17:30,Real Madrid,Girona,4,0,H,2,0,H,16,5,6,0,9,12,0,2,1,2,0,0
SP1,2/10/2024,20:00,Las Palmas,Valencia,2,0,H,0,0,D,8,7,3,1,9,9,5,0,2,0,0,0
SP1,2/9/2024,20:00,Cadiz,Betis,0,2,A,0,1,A,14,13,5,5,12,10,5,3,1,1,0,0
SP1,2/5/2024,20:00,Vallecano,Sevilla,1,2,A,1,2,A,22,10,5,6,8,10,6,0,2,2,0,0
SP1,2/4/2024,13:00,Villarreal,Cadiz,0,0,D,0,0,D,19,8,4,2,14,14,13,2,3,1,0,0
SP1,2/4/2024,15:15,Osasuna,Celta,0,3,A,0,2,A,18,6,1,5,10,10,9,1,2,0,0,0
